# X(km) Y(km) Z(km) Density(kg/m3)
-7.166667 -1.142857 0.000000 0.000279
-7.166667 -1.142857 2.000000 0.016478
-7.166667 -1.142857 4.000000 0.031014
-7.166667 -1.142857 6.000000 0.047286
-7.166667 -1.142857 8.000000 0.067739
-7.166667 -1.142857 10.000000 0.091571
-7.166667 -1.142857 12.000000 0.116281
-7.166667 1.809524 0.000000 0.000138
-7.166667 1.809524 2.000000 0.006484
-7.166667 1.809524 4.000000 0.018946
-7.166667 1.809524 6.000000 0.038957
-7.166667 1.809524 8.000000 0.065197
-7.166667 1.809524 10.000000 0.095012
-7.166667 1.809524 12.000000 0.125094
-7.166667 4.761905 0.000000 0.000103
-7.166667 4.761905 2.000000 0.003981
-7.166667 4.761905 4.000000 0.015023
-7.166667 4.761905 6.000000 0.036596
-7.166667 4.761905 8.000000 0.066911
-7.166667 4.761905 10.000000 0.101865
-7.166667 4.761905 12.000000 0.136933
-7.166667 7.714286 0.000000 0.000100
-7.166667 7.714286 2.000000 0.003524
-7.166667 7.714286 4.000000 0.015406
-7.166667 7.714286 6.000000 0.039352
-7.166667 7.714286 8.000000 0.073445
-7.166667 7.714286 10.000000 0.112865
-7.166667 7.714286 12.000000 0.152246
-7.166667 10.666667 0.000000 0.000115
-7.166667 10.666667 2.000000 0.003892
-7.166667 10.666667 4.000000 0.017201
-7.166667 10.666667 6.000000 0.044394
-7.166667 10.666667 8.000000 0.082746
-7.166667 10.666667 10.000000 0.126543
-7.166667 10.666667 12.000000 0.169810
-7.166667 13.619048 0.000000 0.000091
-7.166667 13.619048 2.000000 0.001710
-7.166667 13.619048 4.000000 0.017067
-7.166667 13.619048 6.000000 0.048843
-7.166667 13.619048 8.000000 0.092182
-7.166667 13.619048 10.000000 0.140475
-7.166667 13.619048 12.000000 0.187381
-7.166667 16.571429 0.000000 0.000073
-7.166667 16.571429 2.000000 -0.000714
-7.166667 16.571429 4.000000 0.015671
-7.166667 16.571429 6.000000 0.051499
-7.166667 16.571429 8.000000 0.099722
-7.166667 16.571429 10.000000 0.152346
-7.166667 16.571429 12.000000 0.202530
-7.166667 19.523810 0.000000 0.000075
-7.166667 19.523810 2.000000 -0.001773
-7.166667 19.523810 4.000000 0.015398
-7.166667 19.523810 6.000000 0.053978
-7.166667 19.523810 8.000000 0.105566
-7.166667 19.523810 10.000000 0.161132
-7.166667 19.523810 12.000000 0.213451
-7.166667 22.476190 0.000000 0.000073
-7.166667 22.476190 2.000000 -0.001244
-7.166667 22.476190 4.000000 0.017788
-7.166667 22.476190 6.000000 0.057967
-7.166667 22.476190 8.000000 0.110339
-7.166667 22.476190 10.000000 0.166271
-7.166667 22.476190 12.000000 0.218809
-7.166667 25.428571 0.000000 0.000144
-7.166667 25.428571 2.000000 0.007057
-7.166667 25.428571 4.000000 0.027313
-7.166667 25.428571 6.000000 0.064245
-7.166667 25.428571 8.000000 0.113016
-7.166667 25.428571 10.000000 0.166390
-7.166667 25.428571 12.000000 0.217360
-7.166667 28.380952 0.000000 0.000119
-7.166667 28.380952 2.000000 0.006265
-7.166667 28.380952 4.000000 0.025805
-7.166667 28.380952 6.000000 0.061222
-7.166667 28.380952 8.000000 0.107916
-7.166667 28.380952 10.000000 0.159222
-7.166667 28.380952 12.000000 0.208487
-7.166667 31.333333 0.000000 0.000048
-7.166667 31.333333 2.000000 -0.000725
-7.166667 31.333333 4.000000 0.015480
-7.166667 31.333333 6.000000 0.050348
-7.166667 31.333333 8.000000 0.096561
-7.166667 31.333333 10.000000 0.146560
-7.166667 31.333333 12.000000 0.194130
-7.166667 34.285714 0.000000 0.000038
-7.166667 34.285714 2.000000 -0.001724
-7.166667 34.285714 4.000000 0.012529
-7.166667 34.285714 6.000000 0.044556
-7.166667 34.285714 8.000000 0.087399
-7.166667 34.285714 10.000000 0.133847
-7.166667 34.285714 12.000000 0.178164
-7.166667 37.238095 0.000000 0.000095
-7.166667 37.238095 2.000000 0.003966
-7.166667 37.238095 4.000000 0.018537
-7.166667 37.238095 6.000000 0.046245
-7.166667 37.238095 8.000000 0.083118
-7.166667 37.238095 10.000000 0.123741
-7.166667 37.238095 12.000000 0.163159
-7.166667 40.190476 0.000000 0.000132
-7.166667 40.190476 2.000000 0.006011
-7.166667 40.190476 4.000000 0.021332
-7.166667 40.190476 6.000000 0.047058
-7.166667 40.190476 8.000000 0.079594
-7.166667 40.190476 10.000000 0.114953
-7.166667 40.190476 12.000000 0.149405
-7.166667 43.142857 0.000000 0.000148
-7.166667 43.142857 2.000000 0.005195
-7.166667 43.142857 4.000000 0.020627
-7.166667 43.142857 6.000000 0.045532
-7.166667 43.142857 8.000000 0.075301
-7.166667 43.142857 10.000000 0.106578
-7.166667 43.142857 12.000000 0.136713
-7.166667 46.095238 0.000000 0.000225
-7.166667 46.095238 2.000000 0.009117
-7.166667 46.095238 4.000000 0.024490
-7.166667 46.095238 6.000000 0.046494
-7.166667 46.095238 8.000000 0.072283
-7.166667 46.095238 10.000000 0.099280
-7.166667 46.095238 12.000000 0.125313
-7.166667 49.047619 0.000000 0.000306
-7.166667 49.047619 2.000000 0.013038
-7.166667 49.047619 4.000000 0.028907
