# X(km) Y(km) gz_pred(mGal)
27.240000 31.650000 6.431670
27.240000 33.130000 5.138819
27.240000 34.610000 4.122286
27.240000 36.100000 3.327340
27.240000 37.580000 2.710698
27.240000 39.060000 2.219158
27.240000 40.540000 1.837457
27.240000 42.030000 1.531205
27.240000 43.510000 1.289302
28.730000 0.500000 1.149658
28.730000 1.980000 1.358000
28.730000 3.470000 1.618738
28.730000 4.950000 1.946621
28.730000 6.430000 2.362774
28.730000 7.920000 2.888290
28.730000 9.400000 3.556061
28.730000 10.880000 4.411526
28.730000 12.370000 5.510882
28.730000 13.850000 6.891724
28.730000 15.330000 8.588781
28.730000 16.810000 10.595840
28.730000 18.300000 12.769122
28.730000 19.780000 14.764739
28.730000 21.260000 16.156480
28.730000 22.750000 16.554618
28.730000 24.230000 15.788791
28.730000 25.710000 14.146621
28.730000 27.200000 12.040201
28.730000 28.680000 9.897940
28.730000 30.160000 7.989639
28.730000 31.650000 6.394586
28.730000 33.130000 5.111589
28.730000 34.610000 4.099908
28.730000 36.100000 3.311254
28.730000 37.580000 2.698255
28.730000 39.060000 2.210544
28.730000 40.540000 1.829986
28.730000 42.030000 1.527816
28.730000 43.510000 1.282930
30.210000 0.500000 1.137885
30.210000 1.980000 1.343243
30.210000 3.470000 1.599889
30.210000 4.950000 1.921643
30.210000 6.430000 2.328778
30.210000 7.920000 2.843200
30.210000 9.400000 3.499706
30.210000 10.880000 4.338380
30.210000 12.370000 5.411561
30.210000 13.850000 6.760874
30.210000 15.330000 8.418431
30.210000 16.810000 10.383219
30.210000 18.300000 12.505222
30.210000 19.780000 14.457032
30.210000 21.260000 15.817497
30.210000 22.750000 16.203063
30.210000 24.230000 15.456666
30.210000 25.710000 13.845954
30.210000 27.200000 11.792639
30.210000 28.680000 9.698109
30.210000 30.160000 7.832780
30.210000 31.650000 6.273689
30.210000 33.130000 5.018649
30.210000 34.610000 4.029297
30.210000 36.100000 3.259727
30.210000 37.580000 2.661051
30.210000 39.060000 2.182766
30.210000 40.540000 1.808679
30.210000 42.030000 1.511013
30.210000 43.510000 1.267300
31.700000 0.500000 1.114765
31.700000 1.980000 1.317592
31.700000 3.470000 1.567884
31.700000 4.950000 1.881855
31.700000 6.430000 2.271942
31.700000 7.920000 2.768512
31.700000 9.400000 3.398917
31.700000 10.880000 4.203635
31.700000 12.370000 5.235064
31.700000 13.850000 6.527191
31.700000 15.330000 8.117243
31.700000 16.810000 10.000900
31.700000 18.300000 12.037454
31.700000 19.780000 13.914639
31.700000 21.260000 15.219487
31.700000 22.750000 15.595519
31.700000 24.230000 14.874907
31.700000 25.710000 13.332580
31.700000 27.200000 11.354262
31.700000 28.680000 9.344913
31.700000 30.160000 7.556738
31.700000 31.650000 6.063647
31.700000 33.130000 4.861659
31.700000 34.610000 3.912694
31.700000 36.100000 3.168633
31.700000 37.580000 2.588528
31.700000 39.060000 2.131353
31.700000 40.540000 1.769710
31.700000 42.030000 1.477133
31.700000 43.510000 1.241349
33.190000 0.500000 1.085892
33.190000 1.980000 1.280280
33.190000 3.470000 1.519913
33.190000 4.950000 1.819811
33.190000 6.430000 2.190341
33.190000 7.920000 2.661685
33.190000 9.400000 3.258336
33.190000 10.880000 4.018353
33.190000 12.370000 4.989490
33.190000 13.850000 6.203116
33.190000 15.330000 7.693448
33.190000 16.810000 9.458593
33.190000 18.300000 11.364433
33.190000 19.780000 13.124838
33.190000 21.260000 14.351594
33.190000 22.750000 14.704996
33.190000 24.230000 14.026894
33.190000 25.710000 12.575890
33.190000 27.200000 10.722068
33.190000 28.680000 8.840283
33.190000 30.160000 7.166916
33.190000 31.650000 5.769627
33.190000 33.130000 4.640346
33.190000 34.610000 3.746443
33.190000 36.100000 3.042671
33.190000 37.580000 2.491799
33.190000 39.060000 2.057264
33.190000 40.540000 1.711779
33.190000 42.030000 1.431495
33.190000 43.510000 1.208855
34.670000 0.500000 1.052364
34.670000 1.980000 1.231296
34.670000 3.470000 1.458349
34.670000 4.950000 1.739574
34.670000 6.430000 2.089903
34.670000 7.920000 2.531610
34.670000 9.400000 3.084697
34.670000 10.880000 3.788598
34.670000 12.370000 4.682953
34.670000 13.850000 5.796635
34.670000 15.330000 7.156590
34.670000 16.810000 8.761478
34.670000 18.300000 10.498522
34.670000 19.780000 12.098564
34.670000 21.260000 13.228403
34.670000 22.750000 13.554448
34.670000 24.230000 12.929872
34.670000 25.710000 11.601424
34.670000 27.200000 9.917199
34.670000 28.680000 8.205790
34.670000 30.160000 6.679653
34.670000 31.650000 5.403888
34.670000 33.130000 4.363098
34.670000 34.610000 3.536869
34.670000 36.100000 2.884697
34.670000 37.580000 2.371322
34.670000 39.060000 1.964326
34.670000 40.540000 1.639444
34.670000 42.030000 1.376585
34.670000 43.510000 1.170600
36.160000 0.500000 1.010949
36.160000 1.980000 1.177243
36.160000 3.470000 1.388852
36.160000 4.950000 1.649888
36.160000 6.430000 1.973481
36.160000 7.920000 2.378247
36.160000 9.400000 2.881805
36.160000 10.880000 3.519552
36.160000 12.370000 4.325498
36.160000 13.850000 5.322378
36.160000 15.330000 6.531021
36.160000 16.810000 7.949063
36.160000 18.300000 9.478590
36.160000 19.780000 10.883497
36.160000 21.260000 11.875605
36.160000 22.750000 12.160609
36.160000 24.230000 11.611875
36.160000 25.710000 10.444539
